# OpenTelemetry Metrics report: .csv, 4 fields # <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.disposed,1734308511767000000,1734308540402000000,233
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1734308511767000000,1734308540402000000,0
FilePageCache.disposedBuffers,1734308511767000000,1734308540402000000,233
FilePageCache.pageLoadsAboveSizeThreshold,1734308511767000000,1734308540402000000,0
FilePageCache.pageHits,1734308511767000000,1734308540402000000,0
FilePageCache.uncachedFileAccess,1734308511767000000,1734308540402000000,132
StorageLockContext.competingThreads.max,1734308511767000000,1734308540402000000,3
DirectByteBufferAllocator.reclaimed,1734308511767000000,1734308540402000000,0
DirectByteBufferAllocator.misses,1734308511767000000,1734308540402000000,233
FilePageCache.totalPageDisposalsUs,1734308511767000000,1734308540402000000,1094
FilePageCache.capacityInBytes,1734308511767000000,1734308540402000000,524288000
FilePageCache.maxCacheSizeInBytes,1734308511767000000,1734308540402000000,246448128
StorageLockContext.competingThreads.avg,1734308511767000000,1734308540402000000,0.05555555555555555
FilePageCache.totalPageLoadsUs,1734308511767000000,1734308540402000000,824136
FilePageCache.pageLoads,1734308511767000000,1734308540402000000,233
DirectByteBufferAllocator.hits,1734308511767000000,1734308540402000000,0
FilePageCache.maxRegisteredFiles,1734308511767000000,1734308540402000000,612
FilePageCache.pageFastCacheHits,1734308511767000000,1734308540402000000,4766
StorageLockContext.competingThreads.90P,1734308511767000000,1734308540402000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1734308511767000000,1734308540402000000,339631
NonBlockingReadAction.failedExecutionTimeUs,1734308511767000000,1734308540402000000,0
NonBlockingReadAction.failedExecutionsCount,1734308511767000000,1734308540402000000,0
NonBlockingReadAction.finalizedExecutionsCount,1734308511767000000,1734308540402000000,15
FileNameCache.fastMisses,1734308511767000000,1734308540402000000,13
FileNameCache.totalMisses,1734308511767000000,1734308540402000000,12
FileNameCache.queries,1734308511767000000,1734308540402000000,37
